Source,Date,Title,Content,Name,Rating,Version
HungerStation,2021-11-02,اتمنى الانتباه,تغليف المشروبات باحكام (الحار والبارد) للتاكد من ان المندوب لم لم يستخدم المشروب,'أميرة',2,5.13.2
HungerStation,2021-11-02,اعلاناتهم أكبر من واقعهم,جاهز وبس,دح 911,1,5.13.2
HungerStation,2021-11-02,سيء جدا,لا يوجد اي التزام بمواعيد التوصيل ، الطلب يجلس ساعتين لين يجيك ! ويجي بارد والمندوب يالله يرد ما تطور ولا شي بهنقرستيشن من يوم طلع للحين ليتهم يتعلمون من جاهز بس,y_awdah,1,5.13.2
HungerStation,2021-11-02,فاشل,اقل من نجمه ونصابين ويزيدون فلوس فجاه بدون سبب في القائمه سعر و في السله سعر ثاني حتى لو ما اظفت اي شيء,ii.jem2,1,5.13.2
HungerStation,2021-11-02,horrible,"canceled my order on me did not provide any information about the issue or anyone to contact. my money is lost and every time i try to contact customer service it gives me a “something went wrong” message 
i do not recommend, ridiculous",Dead Rat2,1,5.13.2
HungerStation,2021-11-02,Customer Service,Customer service is extremely poor. Will not get your delivery in some cases,Hamloodi,1,5.13.2
HungerStation,2021-11-01,.,ساكن في الرياض بالمهدية ولا يوصلون الى مطعم,jeerghhj,1,5.13.2
HungerStation,2021-11-01,.,اسوء برنامج توصيل اكل مر علي ، حسبي الله عليكم,iiaxe04,1,5.13.2
HungerStation,2021-11-01,Good but horrible delivery service,"The app itself is very nice and practical. However, it is truly annoying how literally every delivery man doesn’t want to make the slightest bit of effort. They always demand that we come down to take the order even though the delivery charge is very high already. It is only normal that the order is delivered to the doorstep; that is what we pay for after all with the delivery charge. They also frequently resort to the excuse that there’s no parking even though there is one only two meters away from the building. Sometimes, we decide not to order through the app as a result of this. This kind of behavior definitely needs to stop because it’s disrespectful and unfair.",12rana1,3,5.13.2
HungerStation,2021-11-01,Terrible customer service and terrible app,"There’s is ZERO customer service. I never received an order, was charged for it and then was never refunded. To add insult to injury they marked my issue as resolved. I cannot get through to them anymore. Absolutely disgraceful and dishonest. Avoid this crooked company like the plague. If I could give -10 stars I would. Utterly horrid!",Gol D Roger AKA Pirate King,1,5.13.2
HungerStation,2021-11-01,اقتراح تحسين,ارجوا اضافة سكن تحلية الجبيل ضمن مناطق التوصيل,N123456789010,5,5.13.2
HungerStation,2021-11-01,مزعج,مشكلة التطبيق انه كل شوي يرسل تنبيهات سامجة ومزعجة لذلك بعد كل مرة امسحه بسببها,Samer.Hindi,1,5.13.2
HungerStation,2021-11-01,في الطايف المحلات و المطاعم مشغولة او مغلقة ادخل مرسول كله مفتوحة ايش المشكلة ذي كل مره زي كذا,في الطايف المحلات والمطاعم مشغولة او مغلقة ادخل مرسول كله مفتوحة ايش المشكلة كل مره زي كذا ي مغلق او مشغول كرهت البرنامج من زمان على الوضع ذا ولا تغير,طارق 1411,1,5.13.2
HungerStation,2021-11-01,افضل من مرسول 🤍🤍,افضل من مرسول 🤍🤍,ننمن معر,5,5.13.1
HungerStation,2021-10-31,مهملين,سيئين وغير مبالين,حنتوو,1,5.13.1
HungerStation,2021-10-31,يستاهل اعلا نجمه,ابدعتو تطبيق رائع طلبت من محل وكنت كاتبه تعليق يغيرون لي فيه وجاني غلط وعوضوني هنقرستيشن,GHADO:),5,5.13.1
HungerStation,2021-10-31,برنامج يضلل على المستخدم بإعلانات وهميه,برنامج يضلل على المستخدم بإعلانات وهميه لا انصح به,الدوسري 502),1,5.13.1
HungerStation,2021-10-31,النسيم..,السواق سي جدآ,النسيم ..@,1,5.13.1
HungerStation,2021-10-31,عااااجل جدا,"بعد التحديث ما عملتو حساب الجوالات اللي الايفون اللي ما تقبل التحديث الجديد للاسف انو كذا بتفقدو عملائكم يعني مو معقول اشتري جوال جديد عشان يقبل التحدث للاسف

يطلب اصدار اعلي  13 ولاتنسطيع تغير الايفون",ice age 7,1,5.11.6
HungerStation,2021-10-31,معطل,ما يشتغل على ايفون6,71wy,1,5.13.1
HungerStation,2021-10-30,غشششششش,اسعار الوجبات بالعروض اغلا من المطاعم,نفسية,1,5.13.1
HungerStation,2021-10-30,Bad application,"It’s worse it application delivery food  I have tried in Saudi Arabia.

I had three bad experience.

They always missed some of the food.",abochy,1,5.13.1
HungerStation,2021-10-30,سرعة التوصيل تحسنت بشكل كبيييير,سرعة التوصيل ابهرتني في ٢٣ دقيقه والاكل كان حار,Khaled_hamaddd,5,5.13.1
HungerStation,2021-10-30,بدنه,تأخر الطلب … بسبب ان الدفع عند استلام الطلب و هذا مخالف لشروط العمل .. اذاً الدفع عند الاستلام الغوه من الخيارات,bbananjsn,1,5.13.1
HungerStation,2021-10-30,هنقر,بوركت ارسلو لي البسبوسه قديمه خربانه ؟؟,هدى الفريدي,4,5.13.1
HungerStation,2021-10-30,فشل سواقينكم,السواق فاشل الي ارسلتوه سااعه مايعرف البيت,امم طارق,1,5.13.1
HungerStation,2021-10-30,المحجر مستشفى عبدالعزيز,طلبت اكل و طلبي واضح ويجيني الاكل كلو ناقص ومدفوع كامل ❌❌❌❌❌❌❌❌❌❌❌,سسسسسسسوسووووووو,1,5.13.1
HungerStation,2021-10-30,خميس مشيط,برنامج زبااااااله نصيحه وفرو فلوسكم ولا تستخدمونه وربي نصابين لابعد حد واستهتار من المناديب ناهيكم ان ماافيه خيار الغاء الطلب لو فجاه حبيت تكنسل الا غضب تاخذ الطلب ابو اشكالكم ياشيخ,bshayer21,1,5.13.1
HungerStation,2021-10-30,تاخير,يتأخرون في التوصيل ونصايين,عبدالله نواف الشريف,1,5.13.1
HungerStation,2021-10-30,تطبيق جداً سيئ,سحبو الفلوس و تم إلغاء الطلب ولا يوجد طريقة تواصل ولم يتم إسترجاع المبلغ,Bamuhriz,1,5.13.1
HungerStation,2021-10-30,Deleviry,Sometimes delivery good and fast soemtimes bad and slow plz make delivery fast,Sailabi,4,5.13.1
HungerStation,2021-10-29,خطأ في التطبيق,"يوجد مشكله في تطبيقكم 
بعد ماحددت العنوان
تفاجأت ان الطلب في مدينه اخرى",assado,1,5.13.1
